Place,Date,Time,Value,Unit
278,5/19/24,3:32:15,0,LUX     
279,5/19/24,3:42:15,0,LUX     
280,5/19/24,3:52:15,0,LUX     
281,5/19/24,4:02:15,0,LUX     
282,5/19/24,4:12:15,0,LUX     
283,5/19/24,4:22:15,0,LUX     
284,5/19/24,4:32:15,0,LUX     
285,5/19/24,4:42:15,0,LUX     
286,5/19/24,4:52:15,0,LUX     
287,5/19/24,5:02:15,0,LUX     
288,5/19/24,5:12:15,0,LUX     
289,5/19/24,5:22:15,0,LUX     
290,5/19/24,5:32:15,0,LUX     
291,5/19/24,5:42:15,0,LUX     
292,5/19/24,5:52:15,0,LUX     
293,5/19/24,6:02:15,0,LUX     
294,5/19/24,6:12:15,15,LUX     
295,5/19/24,6:22:15,141,LUX     
296,5/19/24,6:32:15,546,LUX     
297,5/19/24,6:42:15,1207,LUX     
298,5/19/24,6:52:15,1801,LUX     
299,5/19/24,7:02:15,2340,LUX     
300,5/19/24,7:12:15,2790,LUX     
301,5/19/24,7:22:15,4050,LUX     
302,5/19/24,7:32:15,7470,LUX     
303,5/19/24,7:42:15,22700,LUX     
304,5/19/24,7:52:15,25900,LUX     
305,5/19/24,8:02:15,29200,LUX     
306,5/19/24,8:12:15,32800,LUX     
307,5/19/24,8:22:15,36100,LUX     
308,5/19/24,8:32:15,39800,LUX     
309,5/19/24,8:42:15,43900,LUX     
310,5/19/24,8:52:15,48300,LUX     
311,5/19/24,9:02:15,52000,LUX     
312,5/19/24,9:12:15,55900,LUX     
313,5/19/24,9:22:15,59200,LUX     
314,5/19/24,9:32:15,63900,LUX     
315,5/19/24,9:42:15,67000,LUX     
316,5/19/24,9:52:15,70600,LUX     
317,5/19/24,10:02:15,73900,LUX     
318,5/19/24,10:12:15,77300,LUX     
319,5/19/24,10:22:15,79700,LUX     
320,5/19/24,10:32:15,83100,LUX     
321,5/19/24,10:42:15,84800,LUX     
322,5/19/24,10:52:15,87200,LUX     
323,5/19/24,11:02:15,90500,LUX     
324,5/19/24,11:12:15,93300,LUX     
325,5/19/24,11:22:15,94000,LUX     
326,5/19/24,11:32:15,99999,LUX     
327,5/19/24,11:42:15,98800,LUX     
328,5/19/24,11:52:15,99700,LUX     
329,5/19/24,12:02:15,99999,LUX     
330,5/19/24,12:12:15,78800,LUX     
331,5/19/24,12:22:15,99999,LUX     
